onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
2.027	1.8	no_response	n/a	1.0	n/a	v	TR
3.826	2.0	1-back	0.0	1.0	0.547	p	TL
5.842	2.0	1-back	0.0	1.0	0.683	z	BL
7.858	2.0	1-back	1.0	1.0	0.426	c	BL
9.873	2.0	1-back	0.0	1.0	0.571	t	TR
11.889	2.0	1-back	0.0	1.0	0.533	l	TL
13.905	2.0	1-back	1.0	1.0	0.485	c	TL
15.921	2.0	1-back	0.0	1.0	0.542	v	BL
17.936	2.0	1-back	0.0	1.0	0.395	n	BR
19.952	2.0	1-back	1.0	1.0	0.389	l	BR
21.968	2.0	1-back	0.0	1.0	0.461	v	TL
23.983	2.0	1-back	0.0	1.0	0.332	c	BR
25.999	2.0	1-back	0.0	0.0	0.57	r	TR
28.015	2.0	1-back	1.0	1.0	0.757	t	TR
30.031	2.0	1-back	0.0	1.0	0.598	n	BL
32.046	2.0	1-back	1.0	1.0	0.747	s	BL
34.062	2.0	1-back	0.0	1.0	0.458	v	TR
36.078	2.0	1-back	0.0	1.0	0.73	p	TL
38.094	2.0	1-back	1.0	1.0	0.461	c	TL
40.109	2.0	1-back	0.0	1.0	0.64	g	TR
42.125	2.0	1-back	1.0	0.0	0.624	z	TR
44.141	2.0	1-back	0.0	1.0	0.607	x	BR
46.156	2.0	1-back	0.0	0.0	0.826	g	BL
48.172	2.0	1-back	0.0	1.0	0.82	l	TL
50.188	2.0	1-back	0.0	1.0	0.743	r	BL
52.204	2.0	1-back	1.0	1.0	0.747	x	BL
54.219	2.0	1-back	0.0	1.0	0.541	f	BR
56.235	2.0	1-back	0.0	1.0	0.603	z	TR
58.251	2.0	1-back	1.0	1.0	0.601	r	TR
60.267	2.0	1-back	0.0	1.0	0.555	f	BL
62.282	2.0	1-back	1.0	1.0	0.742	n	BL
64.298	2.0	1-back	0.0	1.0	0.475	x	TR
66.314	2.0	1-back	1.0	0.0	0.65	t	TR
68.329	2.0	1-back	0.0	1.0	0.704	p	BR
70.345	2.0	1-back	1.0	1.0	0.671	x	BR
72.361	2.0	1-back	0.0	1.0	0.619	t	TL
74.377	2.0	1-back	1.0	1.0	0.661	s	TL
76.392	2.0	1-back	0.0	1.0	0.691	f	BL
78.408	2.0	1-back	0.0	1.0	0.688	l	BR
80.424	2.0	1-back	1.0	0.0	0.79	g	BR
82.439	2.0	1-back	0.0	0.0	n/a	n	TL
84.455	2.0	1-back	0.0	1.0	0.677	s	TR
86.471	2.0	1-back	0.0	1.0	0.856	p	BR
88.487	2.0	1-back	0.0	1.0	0.592	r	TL
90.502	2.0	1-back	1.0	1.0	0.598	s	TL
92.518	2.0	1-back	0.0	1.0	0.554	g	BR
94.534	2.0	1-back	1.0	0.0	0.679	z	BR
96.55	2.0	1-back	0.0	1.0	0.761	f	BL
102.613	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
104.662	2.0	baseline	1.0	1.0	0.397	redcross.bmp	n/a
106.711	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
108.76	2.0	baseline	1.0	1.0	0.397	n/a	n/a
110.809	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
